Name,Task,Phase,Trial,Leg,StartTime,EndTime
282,Training,Transition,NA,NA,2023-10-10T06:46:49Z,2023-10-10T06:47:14Z
282,Training,HomingMultiLegs,T2.L2,NA,2023-10-10T06:47:14Z,2023-10-10T06:47:14Z
282,Training,Transition,NA,NA,2023-10-10T06:47:14Z,2023-10-10T06:47:55Z
282,Training,HomingMultiLegs,T2.L3,NA,2023-10-10T06:47:55Z,2023-10-10T06:47:55Z
282,Training>Path Integration,Transition,NA,NA,2023-10-10T06:47:55Z,2023-10-10T06:49:55Z
282,Path Integration,NA,1,1,2023-10-10T06:49:55Z,2023-10-10T06:50:20Z
282,Path Integration,Transition,NA,NA,2023-10-10T06:50:20Z,2023-10-10T06:50:51Z
282,Path Integration,NA,1,2,2023-10-10T06:50:51Z,2023-10-10T06:51:05Z
282,Path Integration,Transition,NA,NA,2023-10-10T06:51:05Z,2023-10-10T06:51:23Z
282,Path Integration,NA,1,3,2023-10-10T06:51:23Z,2023-10-10T06:52:50Z
282,Path Integration,Transition,NA,NA,2023-10-10T06:52:50Z,2023-10-10T06:53:26Z
282,Path Integration,NA,2,1,2023-10-10T06:53:26Z,2023-10-10T06:53:37Z
282,Path Integration,Transition,NA,NA,2023-10-10T06:53:37Z,2023-10-10T06:53:54Z
282,Path Integration,NA,2,2,2023-10-10T06:53:54Z,2023-10-10T06:54:11Z
282,Path Integration,Transition,NA,NA,2023-10-10T06:54:11Z,2023-10-10T06:54:28Z
282,Path Integration,NA,2,3,2023-10-10T06:54:28Z,2023-10-10T06:54:57Z
282,Path Integration,Transition,NA,NA,2023-10-10T06:54:57Z,2023-10-10T06:55:11Z
282,Path Integration,NA,3,1,2023-10-10T06:55:11Z,2023-10-10T06:56:01Z
282,Path Integration,Transition,NA,NA,2023-10-10T06:56:01Z,2023-10-10T06:56:18Z
282,Path Integration,NA,3,2,2023-10-10T06:56:18Z,2023-10-10T06:56:45Z
282,Path Integration,Transition,NA,NA,2023-10-10T06:56:45Z,2023-10-10T06:57:03Z
282,Path Integration,NA,3,3,2023-10-10T06:57:03Z,2023-10-10T06:58:09Z
282,Path Integration,Transition,NA,NA,2023-10-10T06:58:09Z,2023-10-10T06:58:25Z
282,Path Integration,NA,4,1,2023-10-10T06:58:25Z,2023-10-10T06:58:46Z
282,Path Integration,Transition,NA,NA,2023-10-10T06:58:46Z,2023-10-10T06:59:02Z
282,Path Integration,NA,4,2,2023-10-10T06:59:02Z,2023-10-10T06:59:25Z
282,Path Integration,Transition,NA,NA,2023-10-10T06:59:25Z,2023-10-10T06:59:41Z
282,Path Integration,NA,4,3,2023-10-10T06:59:41Z,2023-10-10T07:00:15Z
282,Path Integration,Transition,NA,NA,2023-10-10T07:00:15Z,2023-10-10T07:00:31Z
282,Path Integration,NA,5,1,2023-10-10T07:00:31Z,2023-10-10T07:00:53Z
282,Path Integration,Transition,NA,NA,2023-10-10T07:00:53Z,2023-10-10T07:01:23Z
282,Path Integration,NA,5,2,2023-10-10T07:01:23Z,2023-10-10T07:02:02Z
282,Path Integration,Transition,NA,NA,2023-10-10T07:02:02Z,2023-10-10T07:02:20Z
282,Path Integration,NA,5,3,2023-10-10T07:02:20Z,2023-10-10T07:04:26Z
282,Path Integration,Transition,NA,NA,2023-10-10T07:04:26Z,2023-10-10T07:04:42Z
282,Path Integration,NA,6,1,2023-10-10T07:04:42Z,2023-10-10T07:05:11Z
282,Path Integration,Transition,NA,NA,2023-10-10T07:05:11Z,2023-10-10T07:05:28Z
282,Path Integration,NA,6,2,2023-10-10T07:05:28Z,2023-10-10T07:06:03Z
282,Path Integration,Transition,NA,NA,2023-10-10T07:06:03Z,2023-10-10T07:06:23Z
282,Path Integration,NA,6,3,2023-10-10T07:06:23Z,2023-10-10T07:07:40Z
282,Path Integration,Transition,NA,NA,2023-10-10T07:07:40Z,2023-10-10T07:07:54Z
282,Path Integration,NA,7,1,2023-10-10T07:07:54Z,2023-10-10T07:08:17Z
282,Path Integration,Transition,NA,NA,2023-10-10T07:08:17Z,2023-10-10T07:08:37Z
282,Path Integration,NA,7,2,2023-10-10T07:08:37Z,2023-10-10T07:09:13Z
282,Path Integration,Transition,NA,NA,2023-10-10T07:09:13Z,2023-10-10T07:09:31Z
282,Path Integration,NA,7,3,2023-10-10T07:09:31Z,2023-10-10T07:10:34Z
282,Path Integration>Egocentric pointing,Transition,NA,NA,2023-10-10T07:10:34Z,2023-10-10T07:11:34Z
282,Egocentric pointing,NA,1,NA,2023-10-10T07:11:34Z,2023-10-10T07:13:23Z
282,Egocentric pointing,Transition,NA,NA,2023-10-10T07:13:23Z,2023-10-10T07:13:42Z
282,Egocentric pointing,NA,2,NA,2023-10-10T07:13:42Z,2023-10-10T07:14:30Z
282,Egocentric pointing,Transition,NA,NA,2023-10-10T07:14:30Z,2023-10-10T07:14:40Z
282,Egocentric pointing,NA,3,NA,2023-10-10T07:14:40Z,2023-10-10T07:15:22Z
282,Egocentric pointing,Transition,NA,NA,2023-10-10T07:15:22Z,2023-10-10T07:15:32Z
282,Egocentric pointing,NA,4,NA,2023-10-10T07:15:32Z,2023-10-10T07:16:42Z
282,Egocentric pointing>Mapping,Transition,NA,NA,2023-10-10T07:16:42Z,2023-10-10T07:17:43Z
282,Mapping,Tree,NA,NA,2023-10-10T07:17:43Z,2023-10-10T07:17:45Z
282,Mapping,Transition,NA,NA,2023-10-10T07:17:45Z,2023-10-10T07:17:53Z
282,Mapping,Arch,NA,NA,2023-10-10T07:17:53Z,2023-10-10T07:17:59Z
282,Mapping,Transition,NA,NA,2023-10-10T07:17:59Z,2023-10-10T07:18:00Z
282,Mapping,Waterfall,NA,NA,2023-10-10T07:18:00Z,2023-10-10T07:18:02Z
282,Mapping>Memory,Transition,NA,NA,2023-10-10T07:18:02Z,2023-10-10T07:19:07Z
282,Memory,Fruit,Panel,Tree,2023-10-10T07:19:07Z,2023-10-10T07:19:09Z
282,Memory,Transition,NA,NA,2023-10-10T07:19:09Z,2023-10-10T07:19:12Z
282,Memory,Water,Panel,Waterfall,2023-10-10T07:19:12Z,2023-10-10T07:19:14Z
282,Memory,Transition,NA,NA,2023-10-10T07:19:14Z,2023-10-10T07:19:15Z
282,Memory,Fossil,Panel,Arch,2023-10-10T07:19:15Z,2023-10-10T07:19:16Z
282,Memory>Perspective Taking,Transition,NA,NA,2023-10-10T07:19:16Z,2023-10-10T07:19:50Z
282,Perspective Taking,Rocket,Waterfall,Arch,2023-10-10T07:19:50Z,2023-10-10T07:20:27Z
282,Perspective Taking,Transition,NA,NA,2023-10-10T07:20:27Z,2023-10-10T07:20:32Z
282,Perspective Taking,Waterfall,Tree,Arch,2023-10-10T07:20:32Z,2023-10-10T07:21:46Z
282,Perspective Taking,Transition,NA,NA,2023-10-10T07:21:46Z,2023-10-10T07:21:51Z
282,Perspective Taking,Rocket,Tree,Waterfall,2023-10-10T07:21:51Z,2023-10-10T07:22:30Z
282,Perspective Taking,Transition,NA,NA,2023-10-10T07:22:30Z,2023-10-10T07:22:35Z
282,Perspective Taking,Arch,Waterfall,Rocket,2023-10-10T07:22:35Z,2023-10-10T07:23:22Z
282,Perspective Taking,Transition,NA,NA,2023-10-10T07:23:22Z,2023-10-10T07:23:27Z
282,Perspective Taking,Tree,Rocket,Waterfall,2023-10-10T07:23:27Z,2023-10-10T07:24:24Z
282,Perspective Taking,Transition,NA,NA,2023-10-10T07:24:24Z,2023-10-10T07:24:29Z
282,Perspective Taking,Arch,Waterfall,Tree,2023-10-10T07:24:29Z,2023-10-10T07:25:14Z
